Text,Category,Noun,Personal Pronoun,Adverb,Verb,Adjective,Preposition,Modal,Conjunction,Determiner,Verb present,Verb past,Verb past participle
 They will attend their cousin's wedding next month.,Future Tense,,,,,,,,,,,,
 I will take a cooking class next year.,Future Tense,,,,,,,,,,,,
 He will move to a new city in two years.,Future Tense,,,,,,,,,,,,
 She will visit her grandparents in two weeks.,Future Tense,,,,,,,,,,,,
 We will join a dance class next month.,Future Tense,,,,,,,,,,,,
 They will go on a road trip next summer.,Future Tense,,,,,,,,,,,,
 I will learn to play the guitar in three months.,Future Tense,,,,,,,,,,,,
 He will buy a new house in six months.,Future Tense,,,,,,,,,,,,
 She will get her driver's license next week.,Future Tense,,,,,,,,,,,,
 We will go to the beach next month.,Future Tense,,,,,,,,,,,,
 They will apply for college in the fall.,Future Tense,,,,,,,,,,,,
 I will take a vacation in a year.,Future Tense,,,,,,,,,,,,
 He will graduate from high school next year.,Future Tense,,,,,,,,,,,,
 She will buy a new laptop next week.,Future Tense,,,,,,,,,,,,
 We will go on a cruise next summer.,Future Tense,,,,,,,,,,,,
 They will take a trip to Australia next year.,Future Tense,,,,,,,,,,,,
 I will learn a new language in three months.,Future Tense,,,,,,,,,,,,
 He will go backpacking in Europe next summer.,Future Tense,,,,,,,,,,,,
 She will volunteer at the animal shelter next month.,Future Tense,,,,,,,,,,,,
 We will celebrate our anniversary next month.,Future Tense,,,,,,,,,,,,
 They will adopt a dog in three weeks.,Future Tense,,,,,,,,,,,,
 I will join a book club in two months.,Future Tense,,,,,,,,,,,,
 He will get a promotion in a year.,Future Tense,,,,,,,,,,,,
 She will start her own business next year.,Future Tense,,,,,,,,,,,,
 We will take a road trip to the east coast next summer.,Future Tense,,,,,,,,,,,,
 They will attend a music festival next month.,Future Tense,,,,,,,,,,,,
 I will go on a yoga retreat next year.,Future Tense,,,,,,,,,,,,
 He will run a marathon in six months.,Future Tense,,,,,,,,,,,,
 She will get a master's degree in two years.,Future Tense,,,,,,,,,,,,
 We will visit a new country in three months.,Future Tense,,,,,,,,,,,,
 They will move to a new state in four months.,Future Tense,,,,,,,,,,,,
 I will go to a concert next week.,Future Tense,,,,,,,,,,,,
 He will take a painting class in a year.,Future Tense,,,,,,,,,,,,
 She will learn to surf in two months.,Future Tense,,,,,,,,,,,,
 We will go to the amusement park next month.,Future Tense,,,,,,,,,,,,
 They will volunteer at a soup kitchen next weekend.,Future Tense,,,,,,,,,,,,
 I will buy a new bike in two weeks.,Future Tense,,,,,,,,,,,,
 He will attend a cooking class in five months.,Future Tense,,,,,,,,,,,,
 She will visit her cousins in three weeks.,Future Tense,,,,,,,,,,,,
 We will go kayaking in the lake next summer.,Future Tense,,,,,,,,,,,,
 They will get married in a year.,Future Tense,,,,,,,,,,,,
 I will go to the zoo next month.,Future Tense,,,,,,,,,,,,
 He will get a new job in six months.,Future Tense,,,,,,,,,,,,
 She will start a blog in a month.,Future Tense,,,,,,,,,,,,
 We will ride a hot air balloon next year.,Future Tense,,,,,,,,,,,,
 They will join a gym in two weeks.,Future Tense,,,,,,,,,,,,
 I will take a course in photography in four months.,Future Tense,,,,,,,,,,,,
 He will go skydiving in three months.,Future Tense,,,,,,,,,,,,
 She will start a book club in five weeks.,Future Tense,,,,,,,,,,,,
 We will go skiing in the Alps next winter.,Future Tense,,,,,,,,,,,,
 They will take a dance class in four weeks.,Future Tense,,,,,,,,,,,,
 I will go on a road trip with my friends next month.,Future Tense,,,,,,,,,,,,
 He will buy a new laptop in two months.,Future Tense,,,,,,,,,,,,
 She will attend a summer camp in three weeks.,Future Tense,,,,,,,,,,,,
 We will visit the Grand Canyon next year.,Future Tense,,,,,,,,,,,,
 They will take a sailing class next summer.,Future Tense,,,,,,,,,,,,
 I will learn to play the piano in a year.,Future Tense,,,,,,,,,,,,
 He will go to a music festival in four months.,Future Tense,,,,,,,,,,,,
 She will get a new car in five months.,Future Tense,,,,,,,,,,,,
 We will go on a hiking trip in the mountains next summer.,Future Tense,,,,,,,,,,,,
 They will plant a garden next spring.,Future Tense,,,,,,,,,,,,
 I will take a pottery class in three months.,Future Tense,,,,,,,,,,,,
 He will go on a safari in Africa next year.,Future Tense,,,,,,,,,,,,
 She will get her driver's license in two weeks.,Future Tense,,,,,,,,,,,,
 We will go to the beach next month.,Future Tense,,,,,,,,,,,,
 They will take a trip to Asia next summer.,Future Tense,,,,,,,,,,,,
 I will learn a new language in a year.,Future Tense,,,,,,,,,,,,
 He will get a promotion in four months.,Future Tense,,,,,,,,,,,,
 She will travel to South America in two years.,Future Tense,,,,,,,,,,,,
 We will join a cooking class next month.,Future Tense,,,,,,,,,,,,
 They will go on a cruise next winter.,Future Tense,,,,,,,,,,,,
 I will buy a new house in five months.,Future Tense,,,,,,,,,,,,
 He will attend a wine tasting next weekend.,Future Tense,,,,,,,,,,,,
 She will take a dance class in three weeks.,Future Tense,,,,,,,,,,,,
 We will go to an amusement park next summer.,Future Tense,,,,,,,,,,,,
 They will volunteer at a homeless shelter next month.,Future Tense,,,,,,,,,,,,
 I will learn to knit in two months.,Future Tense,,,,,,,,,,,,
 He will go on a bike ride in the park next week.,Future Tense,,,,,,,,,,,,
 She will take a yoga class next year.,Future Tense,,,,,,,,,,,,
 We will visit a new city next month.,Future Tense,,,,,,,,,,,,
 They will get married in a year.,Future Tense,,,,,,,,,,,,
 I will go to a concert next month.,Future Tense,,,,,,,,,,,,
 He will take a photography class in four months.,Future Tense,,,,,,,,,,,,
 She will join a book club in three weeks.,Future Tense,,,,,,,,,,,,
 We will go swimming in the ocean next summer.,Future Tense,,,,,,,,,,,,
 They will apply for college in the fall.,Future Tense,,,,,,,,,,,,
 I will take a vacation in three months.,Future Tense,,,,,,,,,,,,
 He will buy a new car in six months.,Future Tense,,,,,,,,,,,,
 She will go on a road trip with her friends next summer.,Future Tense,,,,,,,,,,,,
 We will take a trip to the east coast next year.,Future Tense,,,,,,,,,,,,
 They will visit their grandparents in a month.,Future Tense,,,,,,,,,,,,
 I will learn to play the guitar in two weeks.,Future Tense,,,,,,,,,,,,
 He will go backpacking in Europe next month.,Future Tense,,,,,,,,,,,,
 She will attend a music festival in four weeks.,Future Tense,,,,,,,,,,,,
 We will go on a shopping trip next weekend.,Future Tense,,,,,,,,,,,,
 They will go skiing in the Alps next winter.,Future Tense,,,,,,,,,,,,
 I will take a cooking class in a year.,Future Tense,,,,,,,,,,,,
 He will move to a new city in three years.,Future Tense,,,,,,,,,,,,
 She will volunteer at the animal shelter next week.,Future Tense,,,,,,,,,,,,
 We will celebrate our anniversary in two months.,Future Tense,,,,,,,,,,,,
 They will adopt a dog in four weeks.,Future Tense,,,,,,,,,,,,
 I will join a yoga retreat in six months.,Future Tense,,,,,,,,,,,,
 He will run a marathon in two months.,Future Tense,,,,,,,,,,,,
 She will get her master's degree in three years.,Future Tense,,,,,,,,,,,,
 We will visit a new country in four months.,Future Tense,,,,,,,,,,,,
 They will move to a new state in five months.,Future Tense,,,,,,,,,,,,
 I will go kayaking in the lake next month.,Future Tense,,,,,,,,,,,,
 He will take a painting class in two years.,Future Tense,,,,,,,,,,,,
 She will learn to surf in three months.,Future Tense,,,,,,,,,,,,
 We will ride a hot air balloon in a year.,Future Tense,,,,,,,,,,,,
 They will join a gym in four weeks.,Future Tense,,,,,,,,,,,,
 I will buy a new bike in three weeks.,Future Tense,,,,,,,,,,,,
 He will attend a cooking class in six months.,Future Tense,,,,,,,,,,,,
 She will visit her cousins in two weeks.,Future Tense,,,,,,,,,,,,
 We will go to the amusement park next weekend.,Future Tense,,,,,,,,,,,,
 They will volunteer at a soup kitchen next month.,Future Tense,,,,,,,,,,,,
 I will take a course in photography in five months.,Future Tense,,,,,,,,,,,,
 He will go skydiving in two months.,Future Tense,,,,,,,,,,,,
 She will start a book club in four weeks.,Future Tense,,,,,,,,,,,,
 We will go hiking in the mountains next summer.,Future Tense,,,,,,,,,,,,
 They will get a new job in seven months.,Future Tense,,,,,,,,,,,,
 I will go to the zoo next weekend.,Future Tense,,,,,,,,,,,,
 He will take a dance class in two months.,Future Tense,,,,,,,,,,,,
 She will start her own business in four years.,Future Tense,,,,,,,,,,,,
 We will go on a road trip to the east coast next summer.,Future Tense,,,,,,,,,,,,
 They will attend a music festival in three weeks.,Future Tense,,,,,,,,,,,,
 I will learn a new language in four months.,Future Tense,,,,,,,,,,,,
 He will go backpacking in Europe in a year.,Future Tense,,,,,,,,,,,,
 She will buy a new laptop in three weeks.,Future Tense,,,,,,,,,,,,
 We will go on a cruise in five months.,Future Tense,,,,,,,,,,,,
 They will take a trip to Australia in six months.,Future Tense,,,,,,,,,,,,
 I will join a book club in a month.,Future Tense,,,,,,,,,,,,
 He will get a promotion in two years.,Future Tense,,,,,,,,,,,,
 She will start a blog in four weeks.,Future Tense,,,,,,,,,,,,
 We will ride a hot air balloon next summer.,Future Tense,,,,,,,,,,,,
 They will join a gym in three weeks.,Future Tense,,,,,,,,,,,,
 I will buy a new bike in four weeks.,Future Tense,,,,,,,,,,,,
 He will attend a cooking class in seven months.,Future Tense,,,,,,,,,,,,
 She will visit her cousins in a month.,Future Tense,,,,,,,,,,,,
 We will go kayaking in the lake next weekend.,Future Tense,,,,,,,,,,,,
 They will get married in two years.,Future Tense,,,,,,,,,,,,
 I will go to the beach next month.,Future Tense,,,,,,,,,,,,
 She watched the sunset yesterday evening.,Past Tense,,,,,,,,,,,,
 He had forgotten his phone at home.,Past Tense,,,,,,,,,,,,
 They ran to the store last night.,Past Tense,,,,,,,,,,,,
 I ate a delicious meal yesterday.,Past Tense,,,,,,,,,,,,
 The dog chased its tail earlier.,Past Tense,,,,,,,,,,,,
 She played hide-and-seek with her friends last week.,Past Tense,,,,,,,,,,,,
 He visited his grandmother last weekend.,Past Tense,,,,,,,,,,,,
 They bought new clothes yesterday.,Past Tense,,,,,,,,,,,,
 I saw a rabbit in the garden this morning.,Past Tense,,,,,,,,,,,,
 She jumped on the trampoline an hour ago.,Past Tense,,,,,,,,,,,,
 He cooked dinner for his family yesterday evening.,Past Tense,,,,,,,,,,,,
 They swam in the lake last summer.,Past Tense,,,,,,,,,,,,
 I went to the cinema last night.,Past Tense,,,,,,,,,,,,
 She painted a picture for her mother last week.,Past Tense,,,,,,,,,,,,
 He rode his bike to school this morning.,Past Tense,,,,,,,,,,,,
 They sang a song together yesterday.,Past Tense,,,,,,,,,,,,
 I wrote a letter to my aunt last weekend.,Past Tense,,,,,,,,,,,,
 She read a book before bedtime last night.,Past Tense,,,,,,,,,,,,
 He watched a movie with his friends yesterday.,Past Tense,,,,,,,,,,,,
 They made a snowman last winter.,Past Tense,,,,,,,,,,,,
 I went to the park last evening.,Past Tense,,,,,,,,,,,,
 She cleaned her room last Saturday.,Past Tense,,,,,,,,,,,,
 He climbed a tree yesterday afternoon.,Past Tense,,,,,,,,,,,,
 They had a picnic at the beach last summer.,Past Tense,,,,,,,,,,,,
 I took a walk in the woods yesterday.,Past Tense,,,,,,,,,,,,
 She wrote a story for her class last week.,Past Tense,,,,,,,,,,,,
 He did his homework yesterday evening.,Past Tense,,,,,,,,,,,,
 They watched the stars last night.,Past Tense,,,,,,,,,,,,
 I ate a burger for lunch yesterday.,Past Tense,,,,,,,,,,,,
 She baked a cake for her birthday last month.,Past Tense,,,,,,,,,,,,
 He flew a kite two days ago.,Past Tense,,,,,,,,,,,,
 They danced to the music yesterday.,Past Tense,,,,,,,,,,,,
 I washed the dishes last night.,Past Tense,,,,,,,,,,,,
 She played a game with her brother last weekend.,Past Tense,,,,,,,,,,,,
 He went to the museum last Saturday.,Past Tense,,,,,,,,,,,,
 They rode horses in the countryside last week.,Past Tense,,,,,,,,,,,,
 I made a new friend yesterday.,Past Tense,,,,,,,,,,,,
 She sang a song in the shower this morning.,Past Tense,,,,,,,,,,,,
 He caught a fish last summer.,Past Tense,,,,,,,,,,,,
 They built a sandcastle on the beach two days ago.,Past Tense,,,,,,,,,,,,
 I read a book yesterday afternoon.,Past Tense,,,,,,,,,,,,
 She painted her bedroom last week.,Past Tense,,,,,,,,,,,,
 He went to the zoo last Saturday.,Past Tense,,,,,,,,,,,,
 They had a barbecue last Sunday.,Past Tense,,,,,,,,,,,,
 I went to the library last evening.,Past Tense,,,,,,,,,,,,
 She jumped in the pool last month.,Past Tense,,,,,,,,,,,,
 He went camping last weekend.,Past Tense,,,,,,,,,,,,
 They ate ice cream yesterday.,Past Tense,,,,,,,,,,,,
 I saw a movie last night.,Past Tense,,,,,,,,,,,,
 She went shopping with her friends last week.,Past Tense,,,,,,,,,,,,
 He gave a presentation yesterday.,Past Tense,,,,,,,,,,,,
 They went to the beach this morning.,Past Tense,,,,,,,,,,,,
 I wrote a letter to my grandparents last week.,Past Tense,,,,,,,,,,,,
 She visited her aunt last weekend.,Past Tense,,,,,,,,,,,,
 He played football with his friends yesterday.,Past Tense,,,,,,,,,,,,
 They cooked dinner for their family last night.,Past Tense,,,,,,,,,,,,
 I took a trip to the mountains last month.,Past Tense,,,,,,,,,,,,
 She painted a picture yesterday.,Past Tense,,,,,,,,,,,,
 He caught a butterfly two days ago.,Past Tense,,,,,,,,,,,,
 They made a snowman last winter.,Past Tense,,,,,,,,,,,,
 I watched a movie before bedtime last night.,Past Tense,,,,,,,,,,,,
 She drew a picture yesterday afternoon.,Past Tense,,,,,,,,,,,,
 He went for a jog this morning.,Past Tense,,,,,,,,,,,,
 They ate breakfast together last Sunday.,Past Tense,,,,,,,,,,,,
 I read a book last week.,Past Tense,,,,,,,,,,,,
 She went to the park last Saturday.,Past Tense,,,,,,,,,,,,
 He went fishing with his dad last weekend.,Past Tense,,,,,,,,,,,,
 They danced at the party last night.,Past Tense,,,,,,,,,,,,
 I washed my car yesterday.,Past Tense,,,,,,,,,,,,
 She rode her bike to the store yesterday.,Past Tense,,,,,,,,,,,,
 He played video games with his friends two days ago.,Past Tense,,,,,,,,,,,,
 They had a picnic in the park last month.,Past Tense,,,,,,,,,,,,
 I wrote a poem yesterday.,Past Tense,,,,,,,,,,,,
 She baked cupcakes for her friends last week.,Past Tense,,,,,,,,,,,,
 He took a nap this afternoon.,Past Tense,,,,,,,,,,,,
 They went to the movies last night.,Past Tense,,,,,,,,,,,,
 I visited my grandparents last weekend.,Past Tense,,,,,,,,,,,,
 She went swimming with her family yesterday.,Past Tense,,,,,,,,,,,,
 He did his chores last evening.,Past Tense,,,,,,,,,,,,
 They flew a kite last Sunday.,Past Tense,,,,,,,,,,,,
 I played hide-and-seek with my friends last month.,Past Tense,,,,,,,,,,,,
 She ate a sandwich for lunch yesterday.,Past Tense,,,,,,,,,,,,
 He went to the circus last week.,Past Tense,,,,,,,,,,,,
 They built a fort in the backyard two days ago.,Past Tense,,,,,,,,,,,,
 I took a walk in the woods last evening.,Past Tense,,,,,,,,,,,,
 She made a new friend last Saturday.,Past Tense,,,,,,,,,,,,
 He cleaned his room last night.,Past Tense,,,,,,,,,,,,
 They sang a song together last Sunday.,Past Tense,,,,,,,,,,,,
 I watched the sunrise this morning.,Past Tense,,,,,,,,,,,,
 She played a game last week.,Past Tense,,,,,,,,,,,,
 He went to the gym yesterday.,Past Tense,,,,,,,,,,,,
 They read a book before bedtime last night.,Past Tense,,,,,,,,,,,,
 I had a picnic at the beach last month.,Past Tense,,,,,,,,,,,,
 She went to the zoo last weekend.,Past Tense,,,,,,,,,,,,
 He bought new shoes two days ago.,Past Tense,,,,,,,,,,,,
 They painted a picture together last week.,Past Tense,,,,,,,,,,,,
 I wrote a story yesterday.,Past Tense,,,,,,,,,,,,
 She cooked dinner for her family last night.,Past Tense,,,,,,,,,,,,
 He jumped on the trampoline this morning.,Past Tense,,,,,,,,,,,,
 They chased each other around the garden yesterday.,Past Tense,,,,,,,,,,,,
 I saw a rabbit in the garden last evening.,Past Tense,,,,,,,,,,,,
 She went for a bike ride yesterday afternoon.,Past Tense,,,,,,,,,,,,
 He rode his skateboard to school last week.,Past Tense,,,,,,,,,,,,
 They went shopping last Saturday.,Past Tense,,,,,,,,,,,,
 I ate a delicious meal last night.,Past Tense,,,,,,,,,,,,
 She had a sleepover with her friends last weekend.,Past Tense,,,,,,,,,,,,
 He painted his bedroom two days ago.,Past Tense,,,,,,,,,,,,
 They built a sandcastle on the beach last month.,Past Tense,,,,,,,,,,,,
 I watched the sunset yesterday evening.,Past Tense,,,,,,,,,,,,
 She forgot her phone at home last week.,Past Tense,,,,,,,,,,,,
 He ran to the store this morning.,Past Tense,,,,,,,,,,,,
 They played hide-and-seek together last night.,Past Tense,,,,,,,,,,,,
 I visited my aunt last weekend.,Past Tense,,,,,,,,,,,,
 She bought new clothes yesterday afternoon.,Past Tense,,,,,,,,,,,,
 He cooked dinner for his family last night.,Past Tense,,,,,,,,,,,,
 They swam in the lake last summer.,Past Tense,,,,,,,,,,,,
 I went to the cinema last evening.,Past Tense,,,,,,,,,,,,
 She painted a picture for her mother last week.,Past Tense,,,,,,,,,,,,
 He rode his bike to school yesterday.,Past Tense,,,,,,,,,,,,
 They sang a song together yesterday morning.,Past Tense,,,,,,,,,,,,
 I wrote a letter to my aunt last Saturday.,Past Tense,,,,,,,,,,,,
 She read a book before bedtime two days ago.,Past Tense,,,,,,,,,,,,
 He watched a movie with his friends last night.,Past Tense,,,,,,,,,,,,
 They made a snowman last winter.,Past Tense,,,,,,,,,,,,
 I went to the park yesterday afternoon.,Past Tense,,,,,,,,,,,,
 She cleaned her room last Sunday.,Past Tense,,,,,,,,,,,,
 He climbed a tree this morning.,Past Tense,,,,,,,,,,,,
 They had a picnic at the beach last summer.,Past Tense,,,,,,,,,,,,
 I took a walk in the woods last evening.,Past Tense,,,,,,,,,,,,
 She wrote a story for her class last week.,Past Tense,,,,,,,,,,,,
 He did his homework yesterday.,Past Tense,,,,,,,,,,,,
 They watched the stars last night.,Past Tense,,,,,,,,,,,,
 I ate a burger for lunch yesterday afternoon.,Past Tense,,,,,,,,,,,,
 She baked a cake for her birthday last week.,Past Tense,,,,,,,,,,,,
 He flew a kite yesterday.,Past Tense,,,,,,,,,,,,
 They danced to the music this morning.,Past Tense,,,,,,,,,,,,
 I washed the dishes last evening.,Past Tense,,,,,,,,,,,,
 She played a game with her brother last Saturday.,Past Tense,,,,,,,,,,,,
 He went to the museum last Sunday.,Past Tense,,,,,,,,,,,,
 They rode horses in the countryside last week.,Past Tense,,,,,,,,,,,,
 I made a new friend two days ago.,Past Tense,,,,,,,,,,,,
 She sang a song in the shower yesterday morning.,Past Tense,,,,,,,,,,,,
 He caught a fish last summer.,Past Tense,,,,,,,,,,,,
 They built a sandcastle on the beach this morning.,Past Tense,,,,,,,,,,,,
 I read a book last night.,Past Tense,,,,,,,,,,,,
 She painted her bedroom last week.,Past Tense,,,,,,,,,,,,
 He went to the zoo this afternoon.,Past Tense,,,,,,,,,,,,
 They had a barbecue yesterday.,Past Tense,,,,,,,,,,,,
 I went to the library last week.,Past Tense,,,,,,,,,,,,
 She jumped in the pool last month.,Past Tense,,,,,,,,,,,,
 He went camping last Saturday.,Past Tense,,,,,,,,,,,,
 They ate ice cream this morning.,Past Tense,,,,,,,,,,,,
 I saw a movie last evening.,Past Tense,,,,,,,,,,,,
 She went shopping with her friends last Sunday.,Past Tense,,,,,,,,,,,,
 He gave a presentation yesterday afternoon.,Past Tense,,,,,,,,,,,,
 They went to the beach yesterday morning.,Past Tense,,,,,,,,,,,,
 I wrote a letter to my grandparents last Saturday.,Past Tense,,,,,,,,,,,,
 She visited her aunt last weekend.,Past Tense,,,,,,,,,,,,
 He played football with his friends two days ago.,Past Tense,,,,,,,,,,,,
 They cooked dinner for their family last evening.,Past Tense,,,,,,,,,,,,
 I took a trip to the mountains last week.,Past Tense,,,,,,,,,,,,
 She painted a picture yesterday morning.,Past Tense,,,,,,,,,,,,
 He caught a butterfly this afternoon.,Past Tense,,,,,,,,,,,,
 They made a snowman last winter.,Past Tense,,,,,,,,,,,,
 I watched a movie before bedtime last night.,Past Tense,,,,,,,,,,,,
 She drew a picture yesterday.,Past Tense,,,,,,,,,,,,
 He went for a jog yesterday morning.,Past Tense,,,,,,,,,,,,
 They ate breakfast together last Saturday.,Past Tense,,,,,,,,,,,,
 I read a book last weekend.,Past Tense,,,,,,,,,,,,
 She went to the park two days ago.,Past Tense,,,,,,,,,,,,
 He went fishing with his dad last Sunday.,Past Tense,,,,,,,,,,,,
 They danced at the party last evening.,Past Tense,,,,,,,,,,,,
 I washed my car this morning.,Past Tense,,,,,,,,,,,,
 She rode her bike to the store yesterday afternoon.,Past Tense,,,,,,,,,,,,
 He played video games with his friends last week.,Past Tense,,,,,,,,,,,,
 They had a picnic in the park last month.,Past Tense,,,,,,,,,,,,
 I wrote a poem yesterday morning.,Past Tense,,,,,,,,,,,,
 She baked cupcakes for her friends last Saturday.,Past Tense,,,,,,,,,,,,
 He took a nap yesterday afternoon.,Past Tense,,,,,,,,,,,,
 They went to the movies last night.,Past Tense,,,,,,,,,,,,
 I visited my grandparents last Sunday.,Past Tense,,,,,,,,,,,,
 She went swimming with her family yesterday morning.,Past Tense,,,,,,,,,,,,
 He did his chores last evening.,Past Tense,,,,,,,,,,,,
 They flew a kite this morning.,Past Tense,,,,,,,,,,,,
 I played hide-and-seek with my friends last week.,Past Tense,,,,,,,,,,,,
 She ate a sandwich for lunch two days ago.,Past Tense,,,,,,,,,,,,
 He went to the circus last Saturday.,Past Tense,,,,,,,,,,,,
 They built a fort in the backyard last month.,Past Tense,,,,,,,,,,,,
 I took a walk in the woods this morning.,Past Tense,,,,,,,,,,,,
 She made a new friend last Sunday.,Past Tense,,,,,,,,,,,,
 He cleaned his room last night.,Past Tense,,,,,,,,,,,,
 They sang a song together last evening.,Past Tense,,,,,,,,,,,,
